Srno.,rebalance_date,rebalance_reason,turnover,transaction_cost,portfolio_value_before_cost,portfolio_value_after_cost,max_weight_drift
169,2025-05-02T00:00:00.000,calendar,0.069210997,194.3445038,1872000.224,1871805.879,0.028600341
170,2025-05-12T00:00:00.000,threshold,0.147533536,416.201719,1880710.114,1880293.913,0.051407211
171,2025-06-02T00:00:00.000,calendar,0.061133116,173.5278027,1892349.185,1892175.657,0.027437241
172,2025-06-10T00:00:00.000,threshold,0.154968891,445.5236025,1916615.217,1916169.694,0.05219637
173,2025-06-11T00:00:00.000,threshold,0.082757463,238.8463065,1924066.615,1923827.769,0.054144404
174,2025-06-12T00:00:00.000,threshold,0.105676407,305.1931473,1925331.332,1925026.139,0.054172541
175,2025-06-13T00:00:00.000,threshold,0.06586397,191.7983254,1941358.078,1941166.279,0.057359309
176,2025-06-20T00:00:00.000,threshold,0.086720926,254.3695946,1955464.922,1955210.553,0.061865471
177,2025-07-01T00:00:00.000,calendar,0.152930367,446.842549,1947912.889,1947466.047,0.036736643
178,2025-07-25T00:00:00.000,threshold,0.191351328,554.7458816,1932730.713,1932175.967,0.075068581
179,2025-08-01T00:00:00.000,calendar,0.02385855,68.37950271,1910691.756,1910623.376,0.016377079
180,2025-08-12T00:00:00.000,threshold,0.168341228,484.0984804,1917131.79,1916647.691,0.061126053
181,2025-09-01T00:00:00.000,calendar,0.079100549,233.8802661,1971164.301,1970930.42,0.027416004
182,2025-10-01T00:00:00.000,calendar,0.143857859,446.0768998,2067211.357,2066765.28,0.047706254
183,2025-10-03T00:00:00.000,threshold,0.084824693,262.3828288,2062157.61,2061895.228,0.058741788
184,2025-10-10T00:00:00.000,threshold,0.103182268,328.9108535,2125112.249,2124783.338,0.084969261
185,2025-10-17T00:00:00.000,threshold,0.116021508,383.6571365,2204517.322,2204133.665,0.090006952
186,2025-11-03T00:00:00.000,calendar,0.077685581,247.7946942,2126475.227,2126227.433,0.024796049
187,2025-11-07T00:00:00.000,threshold,0.232699807,737.213314,2112058.23,2111321.017,0.077023682
188,2025-11-11T00:00:00.000,threshold,0.078741973,253.9693715,2150224.429,2149970.46,0.056089105
189,2025-11-12T00:00:00.000,threshold,0.075881298,245.656944,2158256.397,2158010.74,0.057696236
190,2025-11-13T00:00:00.000,threshold,0.087178662,285.6107579,2184102.928,2183817.318,0.056779295
191,2025-11-26T00:00:00.000,threshold,0.087768997,287.0067024,2180015.814,2179728.807,0.073425978
192,2025-11-27T00:00:00.000,threshold,0.1358068,442.7292267,2173328.711,2172885.982,0.076597775
193,2025-11-28T00:00:00.000,threshold,0.112003139,365.5877972,2176056.86,2175691.272,0.074851371
194,2025-12-01T00:00:00.000,calendar_or_threshold,0.077253589,253.9154253,2191185.582,2190931.667,0.075345488
195,2025-12-04T00:00:00.000,threshold,0.117874981,386.6975018,2187048.785,2186662.087,0.075655837
196,2025-12-05T00:00:00.000,threshold,0.103221949,340.0854274,2196467.124,2196127.038,0.072155854
197,2025-12-12T00:00:00.000,threshold,0.083080848,275.0395127,2207002.921,2206727.882,0.062159697
198,2025-12-16T00:00:00.000,threshold,0.05495296,182.0707638,2208807.49,2208625.419,0.052345873
199,2025-12-29T00:00:00.000,threshold,0.121705211,407.633613,2232901.448,2232493.815,0.074661811
200,2026-01-01T00:00:00.000,calendar_or_threshold,0.166872076,551.6143309,2203741.307,2203189.692,0.151503654
201,2026-01-06T00:00:00.000,threshold,0.09692636,320.3382795,2203310.356,2202990.017,0.057512379
202,2026-01-16T00:00:00.000,threshold,0.114417742,376.8620135,2195825.035,2195448.173,0.089487158
203,2026-01-19T00:00:00.000,threshold,0.069392245,231.4784902,2223865.129,2223633.65,0.056218098
204,2026-01-23T00:00:00.000,threshold,0.086233573,288.9981888,2234227.955,2233938.957,0.052303828
205,2026-01-29T00:00:00.000,threshold,0.144664688,500.9831539,2308709.703,2308208.719,0.054221992
206,2026-02-02T00:00:00.000,calendar,0.097102235,313.1595119,2150032.972,2149719.813,0.039680303
207,2026-02-09T00:00:00.000,threshold,0.129773859,439.1716648,2256086.945,2255647.774,0.068728855
208,2026-02-27T00:00:00.000,threshold,0.098667059,329.2434651,2224609.166,2224279.922,0.074415097
209,2026-03-02T00:00:00.000,calendar,0.01623357,54.54840678,2240148.296,2240093.747,0.013957444
210,2026-03-06T00:00:00.000,threshold,0.153026437,499.8969085,2177823.731,2177323.834,0.052299827
211,2026-03-10T00:00:00.000,threshold,0.169204715,551.7870684,2174041.347,2173489.56,0.050856826
212,2026-03-19T00:00:00.000,threshold,0.199449113,615.668934,2057898.125,2057282.456,0.068512897
213,2026-03-20T00:00:00.000,threshold,0.074160483,230.2905474,2070199.986,2069969.695,0.066661308
214,2026-03-23T00:00:00.000,threshold,0.179549702,532.2465164,1976227.239,1975694.993,0.124703597
215,2026-03-27T00:00:00.000,threshold,0.15017645,458.0344282,2033316.708,2032858.674,0.110083071
216,2026-03-30T00:00:00.000,threshold,0.08269066,249.9384124,2015047.503,2014797.565,0.071645872
217,2026-04-01T00:00:00.000,calendar,0.040052255,122.2773173,2035296.44,2035174.162,0.01419549
218,2026-04-06T00:00:00.000,threshold,0.061134656,186.9777474,2038971.654,2038784.677,0.053614142
219,2026-04-08T00:00:00.000,threshold,0.062126795,194.2843107,2084815.01,2084620.726,0.054183766
220,2026-04-13T00:00:00.000,threshold,0.081527,253.8327346,2075653.749,2075399.916,0.076222684
221,2026-04-15T00:00:00.000,threshold,0.138166839,434.547824,2096729.954,2096295.406,0.107595248
222,2026-04-16T00:00:00.000,threshold,0.132453981,417.2340496,2100020.18,2099602.946,0.056198301
223,2026-04-22T00:00:00.000,threshold,0.162362453,508.7676252,2089020.035,2088511.268,0.103348492
224,2026-04-23T00:00:00.000,threshold,0.192108084,602.3903239,2090456.272,2089853.881,0.092873418
225,2026-04-27T00:00:00.000,threshold,0.1264497,397.7754209,2097147.032,2096749.256,0.061849935
226,2026-04-29T00:00:00.000,threshold,0.196063282,618.5609741,2103269.813,2102651.252,0.164534348
227,2026-05-01T00:00:00.000,calendar_or_threshold,0.185245309,586.0418832,2109066.032,2108479.99,0.111315581
228,2026-05-07T00:00:00.000,threshold,0.127117345,400.84158,2102212.888,2101812.046,0.095815506
229,2026-05-11T00:00:00.000,threshold,0.06797263,212.1900361,2081132.121,2080919.931,0.06127328
230,2026-05-13T00:00:00.000,threshold,0.159038219,503.0059447,2108532.772,2108029.766,0.155325753
231,2026-05-14T00:00:00.000,threshold,0.169574998,544.1158257,2139135.418,2138591.302,0.104043859
232,2026-05-15T00:00:00.000,threshold,0.220825747,707.6354154,2136331.25,2135623.615,0.103325816
233,2026-05-21T00:00:00.000,threshold,0.086396757,278.1083678,2145978.448,2145700.339,0.082668632
234,2026-05-27T00:00:00.000,threshold,0.094157539,297.6709639,2107609.346,2107311.675,0.09123538
235,2026-06-01T00:00:00.000,calendar,0.007597481,23.61429312,2072116.113,2072092.499,0.003556284
